:ID|name:STRING|GO:STRING[]
AT4G34530|CIB1|GO:0003700,GO:0005634,GO:0005634,GO:0006355,GO:0046983,GO:0003700,GO:0003700,GO:0003677,GO:0003700,GO:0005515,GO:0005634,GO:0006351,GO:0009911,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0009637,GO:0005515,GO:0009637,GO:0045824,GO:0005515,GO:0009637,GO:0005515,GO:0005515,GO:0005515
AT3G02570|MEE31|GO:0004476,GO:0005737,GO:0005829,GO:0005975,GO:0008270,GO:0009298,GO:0009298,GO:0009793,GO:0004476,GO:0009416,GO:0010043,GO:0032025,GO:0033591,GO:0046686
AT2G47880|CEPD2|GO:0005634,GO:0005737,GO:0005737,GO:0005515,GO:0005634,GO:0005737,GO:0006995,GO:0005515,GO:0005515,GO:0005515
AT4G37150|MES9|GO:0005575,GO:0009694,GO:0009696,GO:0031408,GO:0080030,GO:0080031,GO:0080032,GO:0009694,GO:0009696,GO:0016788,GO:0080030,GO:0080032,GO:0009627,GO:0050832,GO:0080031,GO:0005515
AT1G68590|PSRP3/1|GO:0003735,GO:0006412,GO:0009507,GO:0009507,GO:0009535,GO:0009579,GO:0009507,GO:0009507,GO:0009570,GO:0009507,GO:0009536,GO:0032544,GO:0005739,GO:0005515,GO:0005515
AT5G20890|CCT2|GO:0005737,GO:0005832,GO:0005832,GO:0006457,GO:0006457,GO:0016887,GO:0051082,GO:0051082,GO:0140662,GO:0005886,GO:0009505,GO:0009536,GO:0010494
AT3G22260|AT3G22260|GO:0004843,GO:0004843,GO:0009507,GO:0009507,GO:0009507,GO:0009507,GO:0009507,GO:0016579
AT5G45030|AT5G45030|GO:0003674,GO:0008150,GO:0009507,GO:0009507
AT2G26290|ARSK1|GO:0004674,GO:0005575,GO:0009056,GO:0009414,GO:0009737,GO:0019438,GO:0019748,GO:0019752,GO:1901362,GO:0016301,GO:0016310
AT3G06610|PYK|GO:0003674,GO:0005634,GO:0043066,GO:0050821,GO:0005829,GO:0005829,GO:0009651,GO:0031398,GO:0031415
AT1G72200|ATL11|GO:0003674,GO:0005739,GO:0016567,GO:0048878,GO:0055082,GO:0098771
AT3G48550|AT3G48550|GO:0003674,GO:0005634,GO:0005634,GO:0005634,GO:0009630,GO:0009606,GO:0016049,GO:0040007,GO:0048589
AT2G21590|APL4|GO:0005978,GO:0009507,GO:0009507,GO:0009507,GO:0009507,GO:0009507,GO:0009507,GO:0009507,GO:0019252,GO:0008878,GO:0010170,GO:0019252,GO:0008878
AT3G29770|MES11|GO:0005634,GO:0080030,GO:0080032,GO:0005515,GO:0008610,GO:0009059,GO:0009416,GO:0071669,GO:0072330
AT3G53410|LUL2|GO:0005634,GO:0016567,GO:0016567,GO:0061630,GO:0061630,GO:0004842,GO:0016567
AT5G15160|BNQ2|GO:0006355,GO:0040008,GO:0046983,GO:0003700,GO:0000325,GO:0005515,GO:0009640,GO:0048510,GO:0005515,GO:0005515
AT5G46840|AT5G46840|GO:0003723,GO:0005730,GO:0005737,GO:0005737,GO:0043412
